Price,Close,High,Low,Open,Volume
Ticker,KC=F,KC=F,KC=F,KC=F,KC=F
Date,,,,,
2018-03-01,118.1500015258789,122.0,116.5,121.3499984741211,162019
2018-05-01,123.69999694824219,124.05000305175781,112.44999694824219,122.8499984741211,215754
2018-06-01,111.5,124.94999694824219,112.0,123.9000015258789,426085
2018-08-01,98.0999984741211,110.4000015258789,95.44999694824219,109.69999694824219,470939
2018-09-01,102.44999694824219,103.44999694824219,92.0,96.3499984741211,195067
2018-10-01,112.69999694824219,125.5,101.0999984741211,102.1500015258789,785177
2018-11-01,103.25,121.30000305175781,104.0,113.05000305175781,379992
2018-12-01,101.8499984741211,104.0,95.75,103.5,125435
2019-01-01,105.9000015258789,107.1500015258789,99.3499984741211,101.5999984741211,473792
2019-02-01,95.19999694824219,107.0,93.5999984741211,106.1500015258789,350231
2019-03-01,94.5,97.5,92.5999984741211,97.5,209028
2019-04-01,91.8499984741211,96.94999694824219,86.3499984741211,94.05000305175781,516692
2019-05-01,104.5999984741211,105.30000305175781,86.75,91.69999694824219,315845
2019-06-01,108.25,109.0,94.0,104.8499984741211,460311
2019-07-01,99.6500015258789,113.05000305175781,98.0999984741211,112.55000305175781,216412
2019-08-01,93.5999984741211,98.94999694824219,89.5999984741211,97.8499984741211,334976
2019-10-01,101.94999694824219,102.9000015258789,92.19999694824219,101.05000305175781,553713
2019-11-01,118.55000305175781,118.0,101.0999984741211,102.1500015258789,422648
2020-01-01,102.6500015258789,130.9499969482422,100.1500015258789,129.5500030517578,480506
2020-02-01,110.0999984741211,111.5,97.4000015258789,102.0,339189
2020-04-01,104.6500015258789,122.0,102.6500015258789,117.75,202888
2020-05-01,96.30000305175781,109.4000015258789,0.0,104.25,164157
2020-06-01,100.05000305175781,101.44999694824219,92.69999694824219,95.8499984741211,290449
2020-07-01,118.94999694824219,119.4000015258789,95.44999694824219,102.80000305175781,231822
2020-08-01,129.8000030517578,130.8000030517578,109.69999694824219,118.19999694824219,293812
2020-09-01,110.94999694824219,134.5,108.30000305175781,132.25,200060
2020-10-01,104.4000015258789,113.3499984741211,102.94999694824219,110.94999694824219,388627
2020-12-01,128.25,129.0,114.75,120.19999694824219,123124
